type,time,channel,note,velocity,pitch 
pitchwheel,9.505761861801147,1,,,0
note_off,9.559468746185303,1,64,64,
pitchwheel,9.58624792098999,0,,,21
note_on,9.586775779724121,0,64,127,
pitchwheel,9.59046196937561,1,,,7
note_on,9.59081768989563,1,64,127,
pitchwheel,9.609799861907959,1,,,0
note_off,9.657916784286499,3,52,64,
pitchwheel,9.704812049865723,3,,,78
note_on,9.70516586303711,3,52,127,
pitchwheel,9.71792483329773,3,,,0
pitchwheel,9.741635799407959,3,,,-38
note_off,9.745939016342163,1,64,64,
pitchwheel,9.790601015090942,1,,,-7
note_on,9.791264057159424,1,64,127,
pitchwheel,9.817774772644043,1,,,0
note_off,9.833667755126953,0,64,64,
note_off,9.83751893043518,1,64,64,
pitchwheel,9.916334867477417,1,,,-34
note_on,9.916729927062988,1,64,127,
note_off,10.003614902496338,1,64,64,
pitchwheel,10.004972696304321,1,,,-7
note_on,10.00500202178955,1,64,127,
note_off,10.025723934173584,2,60,64,
pitchwheel,10.029573917388916,1,,,0
pitchwheel,10.054588794708252,2,,,-14
note_on,10.055004835128784,2,60,86,
note_off,10.063553094863892,1,64,64,
pitchwheel,10.08621597290039,1,,,-7
note_on,10.086539030075073,1,64,109,
pitchwheel,10.089378833770752,2,,,18
note_off,10.129716873168945,1,64,64,
pitchwheel,10.17853593826294,1,,,-7
note_on,10.178988695144653,1,64,127,
pitchwheel,10.187449932098389,1,,,0
note_off,10.231554746627808,1,64,64,
pitchwheel,10.286255836486816,1,,,-7
note_on,10.286588907241821,1,64,127,
pitchwheel,10.301530838012695,1,,,0
note_off,10.3297438621521,1,64,64,
pitchwheel,10.356602907180786,1,,,-34
note_on,10.356884956359863,1,64,127,
pitchwheel,10.369770050048828,1,,,0
note_off,10.39572787284851,2,60,64,
pitchwheel,10.397263765335083,2,,,18
note_on,10.397633790969849,2,60,127,
note_off,10.425848722457886,3,52,64,
pitchwheel,10.478569984436035,3,,,-31
note_on,10.479029893875122,3,52,127,
note_off,10.515474796295166,1,64,64,
pitchwheel,10.578512907028198,1,,,7
note_on,10.578983783721924,1,64,127,
pitchwheel,10.593538761138916,1,,,0
note_off,10.61546802520752,1,64,64,
pitchwheel,10.682446718215942,1,,,-51
note_on,10.682937860488892,1,64,127,
note_off,10.713651895523071,1,64,64,
note_off,10.71576976776123,3,52,64,
pitchwheel,10.764559745788574,0,,,45
note_on,10.764832973480225,0,63,14,
pitchwheel,10.766710758209229,1,,,17
note_on,10.766972780227661,1,63,127,
pitchwheel,10.793582916259766,1,,,331
note_off,10.805851936340332,2,60,64,
note_off,10.825702905654907,0,63,64,
pitchwheel,10.835771799087524,1,,,657
pitchwheel,10.864896059036255,2,,,7
note_on,10.86530089378357,2,62,127,
pitchwheel,10.899588823318481,2,,,-31
note_off,10.90972089767456,1,63,64,
pitchwheel,10.964503765106201,1,,,-17
note_on,10.964913845062256,1,65,127,
pitchwheel,11.016424894332886,0,,,80
note_on,11.016833066940308,0,64,14,
note_off,11.055736780166626,1,65,64,
pitchwheel,11.056941747665405,1,,,-48
note_on,11.05718994140625,1,65,127,
note_off,11.099710941314697,1,65,64,
pitchwheel,11.11369776725769,0,,,15
pitchwheel,11.128854036331177,1,,,-17
note_on,11.129303693771362,1,65,127,
pitchwheel,11.147483825683594,2,,,-94
note_off,11.149585962295532,2,62,64,
pitchwheel,11.179561853408813,0,,,80
note_off,11.185507774353027,0,64,64,
pitchwheel,11.248709917068481,2,,,0
note_on,11.248958826065063,2,55,127,
note_off,11.295418739318848,1,65,64,
pitchwheel,11.33254885673523,1,,,28
note_on,11.332917928695679,1,65,127,
pitchwheel,11.335127830505371,0,,,43
note_on,11.335468053817749,0,65,14,
pitchwheel,11.35561490058899,1,,,314
note_off,11.395766735076904,1,65,64,
pitchwheel,11.445558071136475,0,,,-359
pitchwheel,11.526488780975342,1,,,-5
note_on,11.526940822601318,1,67,111,
pitchwheel,11.557742834091187,1,,,0
note_off,11.561806917190552,4,45,64,
pitchwheel,11.624754905700684,5,,,-31
note_on,11.625156879425049,5,48,127,
note_off,11.647621870040894,1,67,64,
pitchwheel,11.71458888053894,1,,,-41
note_on,11.714937925338745,1,67,127,
pitchwheel,11.743514776229858,1,,,-2
note_off,11.773699760437012,1,67,64,
pitchwheel,11.806675910949707,1,,,45
note_on,11.80675482749939,1,67,127,
pitchwheel,11.807605981826782,5,,,0
pitchwheel,11.835532665252686,1,,,-12
pitchwheel,11.84545087814331,0,,,690
note_off,11.865877866744995,1,67,64,
pitchwheel,11.910565853118896,1,,,-5
note_on,11.910975933074951,1,67,127,
pitchwheel,11.913810968399048,1,,,0
note_off,11.965673923492432,2,55,64,
pitchwheel,12.018619775772095,2,,,51
note_on,12.019023895263672,2,55,127,
pitchwheel,12.047935009002686,2,,,0
note_off,12.077817916870117,1,67,64,
pitchwheel,12.120727777481079,1,,,-5
note_on,12.1212637424469,1,67,127,
pitchwheel,12.1299729347229,1,,,0
note_off,12.183705806732178,1,67,64,
pitchwheel,12.226786851882935,1,,,-25
note_on,12.227289915084839,1,67,127,
note_off,12.259649753570557,1,67,64,
pitchwheel,12.29261589050293,1,,,-5
note_on,12.293046712875366,1,67,127,
pitchwheel,12.294480800628662,1,,,0
note_off,12.3539137840271,2,55,64,
pitchwheel,12.408726930618286,2,,,35
note_on,12.409199953079224,2,64,127,
note_off,12.44362497329712,0,65,64,
pitchwheel,12.445141077041626,0,,,12
note_on,12.445485830307007,0,64,14,
note_off,12.457696914672852,1,67,64,
pitchwheel,12.475691080093384,0,,,0
pitchwheel,12.480973720550537,1,,,-25
note_on,12.481236934661865,1,67,127,
pitchwheel,12.489835023880005,1,,,0
pitchwheel,12.511831760406494,2,,,0
note_off,12.541581869125366,1,67,64,
pitchwheel,12.588724851608276,1,,,-5
note_on,12.589126825332642,1,67,127,
pitchwheel,12.591478824615479,1,,,0
note_off,12.63168478012085,1,67,64,
pitchwheel,12.680250883102417,1,,,8
note_on,12.68065094947815,1,67,127,
pitchwheel,12.7059907913208,1,,,0
note_off,12.7096848487854,2,64,64,
pitchwheel,12.774542808532715,2,,,0
note_on,12.775020837783813,2,55,127,
note_off,12.811620712280273,1,67,64,
pitchwheel,12.866660833358765,1,,,0
note_on,12.86705470085144,1,67,127,
note_off,12.92181396484375,1,67,64,
pitchwheel,12.98245096206665,1,,,-41
note_on,12.982821941375732,1,67,127,
pitchwheel,12.999705791473389,1,,,0
note_off,13.01538896560669,0,64,64,
